2/18/2018 2:43:42 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 2:43:45 PMstart show cam
2/18/2018 2:43:46 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 3:17:08 PMstart show cam
2/18/2018 3:17:10 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 3:17:57 PMstart show cam
2/18/2018 3:17:58 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 3:18:01 PMstart show cam
2/18/2018 3:18:02 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
2/18/2018 3:19:45 PMstart show cam
2/18/2018 3:19:59 PMsite_id GIS_CAM_CONTACTS_MENUAL_v2 3503
